X,Y,OBJECTID,GIS_ID,Name,Location,PayAndDisplay,ParkingDistrict,AccessType,ParkingFacilityType,CountRegSpaces,CountDisabledSpaces,CountTotalSpaces,LastEditDate
480240.4364,4759197.571,538,146,,West side of Waterloo St / South of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480285.2982,4759082.2313,539,147,,West side of Waterloo St / South of King St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480189.9697,4759336.2744,540,148,,West side of Waterloo St / South of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480168.3736,4758673.8832,541,149,,West side of Wellington St / South of Bathurst St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479307.3422,4761017.4275,542,150,,West side of Wellington St / South of Cheapside St,Y,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480013.6676,4759106.9396,543,151,,West side of Wellington St / South of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480310.5749,4758293.2941,544,152,,West side of Wellington St / South of Grey St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480351.4011,4758180.2964,545,153,,West side of Wellington St / South of Hill St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480212.0408,4758561.9932,546,154,,West side of Wellington St / South of Horton St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479718.2638,4759922.6024,547,155,,West side of Wellington St / South of Hyman St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479558.2663,4760348.3758,548,156,,West side of Wellington St / South of Oxford St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479688.0295,4760002.997,549,157,,West side of Wellington St / South of Pall Mall St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479588.1092,4760261.9691,550,158,,West side of Wellington St / South of Piccadilly St,N,Richmond Row,Public,Perpendicular Parking,,,,2018/12/05 18:50:43+00
479951.2058,4759269.1148,551,159,,West side of Wellington St / South of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480255.136,4758443.064,552,160,,West side of Wellington St / South of Simcoe St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480875.8165,4759590.189,553,161,,West side of William St / South of Queens Ave,N,North,Public,Angle Parking,,,,2018/12/05 18:50:43+00
479531.4369,4758779.2321,554,183,,West side of Talbot St / South of King St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
